player_name,season,shots_total,goals,xg_total,xg_per_shot,on_target,goals_minus_xg,conversion_rate
A. Hodson,WSL 2019-2020,1,0,0.0,0.0,1,0.0,0.0
A. Holmes,WSL 2017,6,0,0.7563393712043762,0.12605656186739603,2,-0.7563393712043762,0.0
A. Ilestedt,WSL 2023-2024,7,1,1.231218472123146,0.17588835316044943,2,-0.23121847212314606,0.14285714285714285
A. James-Turner,WSL 2015,19,1,1.053908072412014,0.05546884591642179,11,-0.05390807241201401,0.05263157894736842
A. James-Turner,WSL 2016,18,0,1.4686296433210373,0.08159053574005763,8,-1.4686296433210373,0.0
A. James-Turner,WSL 2017,3,1,0.31890296190977097,0.10630098730325699,2,0.681097038090229,0.3333333333333333
A. James-Turner,WSL 2017-2018,6,0,0.33883094042539597,0.05647182340423266,2,-0.33883094042539597,0.0
A. James-Turner,WSL 2018-2019,18,0,1.6420133337378502,0.09122296298543613,9,-1.6420133337378502,0.0
A. James-Turner,WSL 2019-2020,16,1,1.8019984290003777,0.1126249018125236,6,-0.8019984290003777,0.0625
A. James-Turner,WSL 2020-2021,41,1,2.805357091128826,0.06842334368606894,21,-1.8053570911288261,0.024390243902439025
A. James-Turner,WSL 2022-2023,14,1,2.217072144150734,0.1583622960107667,4,-1.217072144150734,0.07142857142857142
A. James-Turner,WSL 2023-2024,12,2,1.6608726605772972,0.1384060550481081,9,0.3391273394227028,0.16666666666666666
A. James-Turner,WSL 2024-2025,1,0,0.06358381360769272,0.06358381360769272,0,-0.06358381360769272,0.0
A. Johnson,WSL 2017,1,0,0.0,0.0,1,0.0,0.0
A. Johnson,WSL 2017-2018,8,0,0.3732006400823593,0.046650080010294914,4,-0.3732006400823593,0.0
A. Johnson,WSL 2018-2019,1,0,0.06358381360769272,0.06358381360769272,0,-0.06358381360769272,0.0
A. Joice,WSL 2017,7,0,0.28411607444286346,0.040588010634694784,5,-0.28411607444286346,0.0
A. Joice,WSL 2017-2018,11,1,1.7628794014453888,0.1602617637677626,7,-0.7628794014453888,0.09090909090909091
A. Jordan,WSL 2019-2020,2,0,0.0,0.0,2,0.0,0.0
